Latitude ( ° ),Longitude ( ° ),Optimal Tilt   ( ° ),Optimal  Azimuth ( ° ),Horizontal Radiation(KW-hr/m^2/Year),Fixed Tilt Radiation    (KW-hr/m^2/Year),Fixed Energy          (KW-hr/m^2/Year),Monthly Tilt Radiation         (KW-hr/m^2/Year),Monthly Energy (KW-hr/m^2/Year),Fixed vs Monthly Energy % Difference,Horizontal Vs Tilt % diff
29.75,70.25,30.00,0.00,1832.30,2003.58,319.00,2109.07,335.74,4.99,8.55
29.75,70.75,31.00,0.00,1832.30,2003.58,316.30,2109.07,332.91,4.99,8.55
29.75,71.25,31.00,0.00,1872.45,2050.39,323.76,2158.17,340.72,4.98,8.68
29.75,71.75,31.00,0.00,1872.45,2050.39,323.85,2158.17,340.82,4.98,8.68
29.75,72.25,30.00,0.00,1795.80,1961.59,309.99,2061.70,325.76,4.84,8.45
29.75,72.75,30.00,0.00,1795.80,1961.59,310.10,2061.70,325.88,4.84,8.45
29.75,73.25,30.00,0.00,1784.85,1949.90,308.41,2047.68,323.83,4.76,8.46
30.25,66.75,32.00,0.00,2033.05,2239.99,369.29,2360.16,389.00,5.07,9.24
30.25,67.25,32.00,0.00,1971.00,2183.94,360.43,2303.60,380.06,5.17,9.75
30.25,67.75,32.00,0.00,1971.00,2183.94,359.06,2303.60,378.62,5.17,9.75
30.25,68.25,32.00,0.00,1927.20,2138.18,350.31,2255.82,369.47,5.19,9.87
30.25,68.75,32.00,0.00,1927.20,2138.18,348.90,2255.82,367.98,5.19,9.87
30.25,69.25,32.00,0.00,1876.10,2083.12,339.99,2198.29,358.69,5.21,9.94
30.25,69.75,32.00,0.00,1876.10,2083.12,338.05,2198.29,356.64,5.21,9.94
30.25,70.25,31.00,0.00,1799.45,1988.17,319.01,2093.56,335.84,5.01,9.49
30.25,70.75,31.00,0.00,1799.45,1988.17,315.25,2093.56,331.88,5.01,9.49
30.25,71.25,30.00,0.00,1795.80,1969.99,311.36,2071.38,327.32,4.88,8.84
30.25,71.75,30.00,0.00,1795.80,1969.99,311.43,2071.38,327.40,4.88,8.84
30.25,72.25,30.00,0.00,1828.65,2008.77,317.63,2112.04,333.90,4.87,8.97
30.25,72.75,30.00,0.00,1828.65,2008.77,317.73,2112.04,334.00,4.87,8.97
30.25,73.25,31.00,0.00,1828.65,2003.88,316.97,2107.10,333.25,4.88,8.74
30.25,73.75,31.00,0.00,1828.65,2003.88,317.30,2107.10,333.59,4.88,8.74
30.75,66.75,33.00,0.00,2033.05,2251.46,371.86,2370.69,391.45,5.00,9.70
30.75,67.25,33.00,0.00,1971.00,2195.13,365.60,2314.19,385.31,5.12,10.21
30.75,67.75,33.00,0.00,1971.00,2195.13,365.92,2314.19,385.66,5.12,10.21
30.75,68.25,33.00,0.00,1927.20,2149.11,356.60,2266.27,375.92,5.14,10.33
30.75,68.75,33.00,0.00,1927.20,2149.11,353.85,2266.27,373.02,5.14,10.33
30.75,69.25,33.00,0.00,1876.10,2093.54,343.93,2208.49,362.71,5.18,10.39
30.75,69.75,33.00,0.00,1876.10,2093.54,341.46,2208.49,360.11,5.18,10.39
30.75,70.25,32.00,0.00,1799.45,1997.63,321.75,2103.00,338.64,4.99,9.92
30.75,70.75,32.00,0.00,1799.45,1997.63,317.54,2103.00,334.21,4.99,9.92
30.75,71.25,31.00,0.00,1795.80,1978.99,313.25,2080.32,329.22,4.85,9.26
30.75,71.75,31.00,0.00,1795.80,1978.99,313.30,2080.32,329.27,4.85,9.26
30.75,72.25,31.00,0.00,1828.65,2018.06,319.49,2121.22,335.75,4.84,9.39
30.75,72.75,31.00,0.00,1828.65,2018.06,319.56,2121.22,335.83,4.84,9.39
30.75,73.25,31.00,0.00,1828.65,2013.16,318.83,2116.14,335.08,4.85,9.17
30.75,73.75,31.00,0.00,1828.65,2013.16,319.14,2116.14,335.41,4.85,9.17
30.75,74.25,33.00,0.00,1854.20,2057.78,326.83,2162.85,343.43,4.83,9.89
31.25,67.75,33.00,0.00,1989.25,2223.04,371.48,2342.95,391.39,5.09,10.52
31.25,68.25,33.00,0.00,1941.80,2175.69,362.59,2292.26,381.91,5.06,10.75
31.25,68.75,33.00,0.00,1941.80,2175.69,360.56,2292.26,379.77,5.06,10.75
31.25,69.25,33.00,0.00,1887.05,2115.36,348.88,2229.21,367.55,5.08,10.79
31.25,69.75,33.00,0.00,1887.05,2115.36,346.07,2229.21,364.59,5.08,10.79
31.25,70.25,32.00,0.00,1773.90,1969.06,317.66,2070.37,333.93,4.87,9.91
31.25,70.75,32.00,0.00,1773.90,1969.06,312.98,2070.37,329.01,4.87,9.91
31.25,71.25,32.00,0.00,1799.45,1995.96,316.52,2097.65,332.57,4.82,9.85
31.25,71.75,32.00,0.00,1799.45,1995.96,316.56,2097.65,332.61,4.83,9.85
31.25,72.25,32.00,0.00,1832.30,2019.20,319.77,2120.67,335.79,4.77,9.26
31.25,72.75,32.00,0.00,1832.30,2019.20,319.83,2120.67,335.85,4.77,9.26
31.25,73.25,32.00,0.00,1835.95,2029.59,321.75,2133.35,338.15,4.85,9.54
31.25,73.75,32.00,0.00,1835.95,2029.59,322.07,2133.35,338.48,4.85,9.54
31.25,74.25,31.00,0.00,1941.80,2149.68,341.42,2266.55,359.89,5.13,9.67
31.75,68.25,34.00,0.00,1941.80,2187.50,366.13,2303.49,385.41,5.00,11.23
31.75,69.25,34.00,0.00,1887.05,2126.67,350.93,2240.10,369.53,5.03,11.27
31.75,69.75,34.00,0.00,1887.05,2126.67,347.24,2240.10,365.64,5.03,11.27
31.75,70.25,33.00,0.00,1773.90,1978.84,318.75,2079.95,334.95,4.83,10.36
31.75,70.75,33.00,0.00,1773.90,1978.84,314.77,2079.95,330.76,4.83,10.36
31.75,71.25,33.00,0.00,1799.45,2005.85,318.64,2107.33,334.67,4.79,10.29
31.75,71.75,33.00,0.00,1799.45,2005.85,318.57,2107.33,334.61,4.79,10.29
31.75,72.25,32.00,0.00,1832.30,2029.03,321.74,2130.07,337.70,4.73,9.70
31.75,72.75,32.00,0.00,1832.30,2029.03,321.84,2130.07,337.80,4.72,9.70
31.75,73.25,32.00,0.00,1835.95,2039.53,323.89,2143.02,340.25,4.81,9.98
31.75,73.75,32.00,0.00,1835.95,2039.53,324.27,2143.02,340.65,4.81,9.98
31.75,74.25,32.00,0.00,1941.80,2160.55,343.77,2277.11,362.23,5.10,10.12
32.25,69.75,33.00,0.00,1945.45,2187.74,357.70,2306.59,377.04,5.13,11.08
32.25,70.25,33.00,0.00,1814.05,2033.50,328.14,2138.87,345.05,4.90,10.79
32.25,70.75,33.00,0.00,1814.05,2033.50,324.51,2138.87,341.23,4.90,10.79
32.25,71.25,33.00,0.00,1850.55,2064.81,328.40,2169.50,344.96,4.80,10.38
32.25,71.75,33.00,0.00,1850.55,2064.81,328.76,2169.50,345.35,4.80,10.38
32.25,72.25,32.00,0.00,1861.50,2073.38,330.11,2181.53,347.26,4.94,10.22
32.25,72.75,32.00,0.00,1861.50,2073.38,330.07,2181.53,347.22,4.94,10.22
32.25,73.25,32.00,0.00,1901.65,2123.43,337.97,2235.81,355.77,5.00,10.44
32.25,73.75,32.00,0.00,1901.65,2123.43,338.02,2235.81,355.82,5.00,10.44
32.25,74.25,32.00,0.00,1945.45,2172.90,346.06,2291.17,364.79,5.14,10.47
32.25,74.75,32.00,0.00,1945.45,2172.90,346.65,2291.17,365.42,5.14,10.47
32.25,75.25,33.00,0.00,1930.85,2170.14,347.97,2288.71,366.87,5.15,11.03
32.75,69.75,34.00,0.00,1945.45,2199.95,363.27,2318.17,382.68,5.07,11.57
32.75,70.25,34.00,0.00,1814.05,2044.36,332.45,2149.40,349.43,4.86,11.27
32.75,70.75,34.00,0.00,1814.05,2044.36,328.24,2149.40,345.00,4.86,11.27
32.75,71.25,34.00,0.00,1850.55,2075.77,331.75,2179.95,348.31,4.75,10.85
32.75,71.75,34.00,0.00,1850.55,2075.77,331.99,2179.95,348.56,4.75,10.85
32.75,72.25,33.00,0.00,1861.50,2084.21,333.49,2191.96,350.64,4.89,10.69
32.75,72.75,33.00,0.00,1861.50,2084.21,333.57,2191.96,350.73,4.89,10.69
32.75,73.25,33.00,0.00,1901.65,2134.71,341.40,2246.65,359.20,4.96,10.92
32.75,73.75,33.00,0.00,1901.65,2134.71,340.66,2246.65,358.42,4.96,10.92
32.75,74.25,33.00,0.00,1945.45,2184.62,349.71,2302.44,368.47,5.09,10.95
33.25,70.25,34.00,0.00,1879.75,2118.25,347.13,2234.27,366.06,5.17,11.26
33.25,70.75,34.00,0.00,1879.75,2118.25,343.10,2234.27,361.80,5.17,11.26
33.25,71.25,33.00,0.00,1832.30,2062.80,331.90,2172.83,349.52,5.04,11.17
33.25,71.75,33.00,0.00,1832.30,2062.80,330.66,2172.83,348.22,5.04,11.17
33.25,72.25,33.00,0.00,1894.35,2126.48,340.65,2240.79,358.87,5.08,10.92
33.25,72.75,33.00,0.00,1894.35,2126.48,341.09,2240.79,359.33,5.08,10.92
33.25,73.25,33.00,0.00,1912.60,2151.88,345.65,2267.84,364.18,5.09,11.12
33.25,73.75,33.00,0.00,1912.60,2151.88,346.28,2267.84,364.84,5.09,11.12
33.75,70.25,34.00,0.00,1879.75,2130.20,353.15,2245.76,372.22,5.12,11.76
33.75,70.75,34.00,0.00,1879.75,2130.20,349.27,2245.76,368.13,5.12,11.76
33.75,71.25,34.00,0.00,1832.30,2074.17,336.24,2183.86,353.92,5.00,11.66
33.75,71.75,34.00,0.00,1832.30,2074.17,333.54,2183.86,351.07,5.00,11.66
33.75,72.25,34.00,0.00,1894.35,2138.35,342.81,2252.10,360.95,5.03,11.41
33.75,72.75,34.00,0.00,1894.35,2138.35,344.03,2252.10,362.24,5.03,11.41
33.75,73.25,34.00,0.00,1912.60,2164.01,351.10,2279.38,369.72,5.04,11.62
33.75,73.75,34.00,0.00,1912.60,2164.01,355.06,2279.38,373.90,5.04,11.62
34.25,71.25,34.00,0.00,1905.30,2156.68,350.29,2272.51,369.02,5.08,11.66
34.25,71.75,34.00,0.00,1905.30,2156.68,347.65,2272.51,366.23,5.07,11.66
34.25,72.25,34.00,0.00,1934.50,2188.52,352.48,2305.61,371.26,5.06,11.61
34.25,72.75,34.00,0.00,1934.50,2188.52,355.05,2305.61,373.96,5.06,11.61
34.25,73.25,34.00,0.00,1854.20,2089.77,343.63,2198.95,361.53,4.95,11.27
34.25,73.75,34.00,0.00,1854.20,2089.77,349.29,2198.95,367.49,4.95,11.27
34.75,71.25,35.00,0.00,1905.30,2169.41,357.50,2284.46,376.38,5.02,12.17
34.75,71.75,35.00,0.00,1905.30,2169.41,355.76,2284.46,374.54,5.02,12.17
34.75,72.25,35.00,0.00,1934.50,2201.45,362.30,2317.74,381.37,5.00,12.13
